route_number,stop_id,sequence,direction,zone
151,N3146744E101698695,1,2,4
151,N3255694E101657104,1,1,1
151,N3148202E101696375,2,2,4
151,N3254584E101656382,2,1,1
151,N3149245E101697372,3,2,4
151,N3250878E101657971,3,1,1
151,N3151913E101697998,4,2,4
151,N3251781E101660001,4,1,1
151,N3153258E101698484,5,2,4
151,N3249568E101662934,5,1,1
151,N3154652E101698375,6,2,4
151,N3249922E101664378,6,1,1
151,N3156779E101695358,7,2,4
151,N3250902E101666458,7,1,1
151,N3157724E101694556,8,2,4
151,N3250014E101670495,8,1,1
151,N3162154E101695526,9,2,4
151,N3248185E101671422,9,1,1
151,N3165085E101696133,10,2,4
151,N3246619E101671394,10,1,1
151,N3167208E101696275,11,2,4
151,N3244932E101669223,11,1,1
151,N3169272E101695689,12,2,3
151,N3241042E101668447,12,1,1
151,N3171001E101693422,13,2,3
151,N3235604E101671683,13,1,2
151,N3174173E101690357,14,2,3
151,N3224205E101671929,14,1,2
151,N3176318E101688001,15,2,3
151,N3215039E101672071,15,1,2
151,N3178238E101685753,16,2,3
151,N3202983E101672999,16,1,3
151,N3180075E101683043,17,2,3
151,N3201994E101676612,17,1,3
151,N3183872E101681078,18,2,3
151,N3200533E101677558,18,1,3
151,N3187494E101681611,19,2,3
151,N3197445E101679383,19,1,3
151,N3188964E101680933,20,2,3
151,N3194458E101679934,20,1,3
151,N3194339E101679474,21,2,3
151,N3191318E101680711,21,1,3
151,N3198519E101678381,22,2,2
151,N3189311E101681467,22,1,3
151,N3201914E101676269,23,2,2
151,N3187823E101682087,23,1,3
151,N3202668E101673614,24,2,2
151,N3184283E101681568,24,1,3
151,N3214823E101671769,25,2,2
151,N3182668E101681709,25,1,3
151,N3222303E101671636,26,2,1
151,N3180072E101683532,26,1,3
151,N3224288E101671585,27,2,1
151,N3179103E101684876,27,1,3
151,N3235105E101671394,28,2,1
151,N3176957E101687597,28,1,3
151,N3242992E101662831,29,2,1
151,N3174777E101690071,29,1,3
151,N3244594E101658687,30,2,1
151,N3171261E101693485,30,1,4
151,N3245313E101658162,31,2,1
151,N3169987E101695148,31,1,4
151,N3244942E101669029,32,2,1
151,N3167932E101697641,32,1,4
151,N3246598E101671185,33,2,1
151,N3164908E101698382,33,1,4
151,N3248103E101671316,34,2,1
151,N3162105E101697999,34,1,4
151,N3251207E101669677,35,2,1
151,N3161248E101697614,35,1,4
151,N3250971E101666894,36,2,1
151,N3159284E101696723,36,1,4
151,N3249764E101664336,37,2,1
151,N3157889E101696133,37,1,4
151,N3249575E101662586,38,2,1
151,N3155154E101696408,38,1,4
151,N3251495E101659824,39,2,1
151,N3152993E101696601,39,1,4
151,N3250406E101658164,40,2,1
151,N3149162E101694376,40,1,4
151,N3254808E101655816,41,2,1
151,N3147136E101694810,41,1,4
151,N3255311E101654675,42,2,1
151,N3146940E101696830,42,1,4
151,N3255524E101654888,43,2,1
151,N3146744E101698695,43,1,4
151,N3255694E101657104,44,2,1
170,N3251574E101684494,1,1,1
170,N3173556E101695916,1,2,2
170,N3251424E101686069,2,1,1
170,N3177278E101699941,2,2,2
170,N3251457E101689126,3,1,1
170,N3179908E101698141,3,2,2
