stop_id,stop_code,stop_name,street_name,latitude,longitude,direction,zone
N0000000E0000000,,,,0,0,1,1
N1487902E110342000,,Kuching International Airport,Jalan Lapangan Terbang,1.4879022,110.3419999,1,1
N1489828E110339764,,Hotel Raia,Jalan Lapangan Terbang,1.4898277,110.3397643,1,1
N1502655E110352136,,Sarawak Badminton Association,Lorong Lapangan Terbang 1,1.5026553,110.3521356,2,1
N1507025E110299779,,Megalanes Emart Batu Kawa,Lorong Desa Wira 2a1,1.5070252,110.29977863,2,1
N1509785E110335613,,Hotel Imperial,Jalan Datuk Tawi Sli,1.5097852,110.3356132,1,1
N1512354E110339623,,Persatuan Bola Keranjang Sarawak,Jalan Taman Hui Sing,1.5123539,110.3396231,2,1
N1526322E110357316,,Hotel 56,Jalan Tun Jugah,1.5263223,110.3573163,1,1
N1536394E110355876,,Hotel Citadines Uplands,Jalan Uplands,1.5363944,110.3558756,1,1
N1539437E110337628,,"Dewan Serbaguna, Kompleks Belia & Sukan",Lorong Tun Ahmad Zaidi,1.5394373,110.3376276,2,1
N1541202E110341130,,Hotel Regatta Suites,Jalan Tun Abang Hj Openg,1.5412022,110.3411302,1,1
N1544894E110340529,,Hotel Serapi Verdure,Jalan Hospital,1.5448942,110.3405294,1,1
N1546655E110343419,,Dewan Suarah (Depoh Bas),Jalan Ong Kwan Hin,1.5466551,110.3434188,2,1
N1551979E110361035,,SJK Chung Hua No3,Jalan Padungan,1.5519791,110.3610349,2,1
N1552524E110367642,,Hotel Hock Lee,Jalan Datuk Abang Abdul Rahim,1.5525237,110.3676418,1,1
N1552703E110353792,,Hotel Grand Continental,Jalan Ban Hock,1.5527033,110.3537922,1,1
N1556820E110348601,,Hotel Harbour View,Jalan Bukit Mata,1.5568203,110.3486012,1,1
N1564585E110405501,,Hotel Ucsi,Jalan Keruing,1.5645855,110.4055015,1,1
N1586491E110356755,,Pusat Akuatik Pandalela Rinong,Jalan Diplomatik,1.5864912,110.3567547,2,1
N1586838E110356591,,Lapang Sasar Memanah,Jalan Diplomatik,1.5868384,110.3565915,2,1
N1587013E110355117,,Multipurpose Arena Petrajaya,Lorong Stadium 1,1.5870127,110.3551172,2,1
N1588659E110357236,,Stadium Sarawak/Stadium Negeri,Jalan Stadium,1.5886592,110.3572355,2,1
