route_number,route_name,route_type,route_color
BC2,Pasar Seni ↺ Batu Caves (Thaipusam),batu_caves_shuttle,21618C
BC3,LRT Gombak ↺ Batu Caves (Thaipusam),batu_caves_shuttle,21618C
BC4,MRT Kg Batu ↺ Batu Caves (Thaipusam),batu_caves_shuttle,21618C
451,MRT Kajang ⇌ MRT Putrajaya Sentral,bet,006CFF
DS01(AM),LRT Ampang ⇌ KLCC via AKLEH,bet,21618C
DS01(PM),KLCC via AKLEH ⇌ LRT Ampang,bet,21618C
T203,LRT Taman Melati ↺ Danau Kota,drt,008716
T221,LRT Sri Rampai ↺ Giant Ulu Kelang,drt,008716
T582,LRT Sri Petaling ↺ Bandar Sri Petaling,drt,008716
T757,LRT Alam Megah ↺ Seksyen 27 Shah Alam,drt,008716
T774,LRT Glenmarie ↺ MSU; Stadium Shah Alam,drt,008716
T778,LRT USJ 21 ↺ One City,drt,008716
T783,LRT Taman Bahagia ↺ SS 6,drt,008716
T785,LRT Taman Paramount ↺ Kampung Baiduri,drt,008716
T786,LRT Asia Jaya ↺ MRT Phileo Damansara,drt,008716
222,Taman Melawati ⇌ LRT Wangsa Maju,lrt_feeder,006CFF
541,Putra Permai ⇌ LRT Kinrara BK 5,lrt_feeder,006CFF
581,Desa Tasik ⇌ LRT Bandar Tasik Selatan,lrt_feeder,006CFF
651,LRT Muhibbah ↺ Pearl Point,lrt_feeder,006CFF
652,LRT Awan Besar ↺ Batu 3 Jalan Klang Lama,lrt_feeder,006CFF
752,LRT Putra Height ⇌ Hentian Bandar Shah Alam,lrt_feeder,006CFF
783,LRT Kelana Jaya ⇌ Subang Parade,lrt_feeder,006CFF
822,LRT Bangsar ↺ Bangsar Shopping Centre,lrt_feeder,006CFF
T200,LRT Gombak ↺ UIA Gombak,lrt_feeder,008716
T201,LRT Gombak ↺ Hab Wira Damai,lrt_feeder,008716
T202,LRT Taman Melati ↺ Taman Melewar,lrt_feeder,008716
T222,LRT Sri Rampai ↺ UKAY Perdana,lrt_feeder,008716
T223,"LRT Setiawangsa ↺ AU3, Jentayu, Keramat",lrt_feeder,008716
T224,LRT Dato Keramat ↺ Desa Pandan,lrt_feeder,008716
T250,LRT Wangsa Maju ↺ Setapak Sentral,lrt_feeder,008716
T251,LRT Sri Rampai ↺ Seksyen 10 Wangsa Maju,lrt_feeder,008716
T303,Ampang Point ↺ LRT Pandan Indah,lrt_feeder,008716
T350,LRT Cempaka ↺ Taman Mawar,lrt_feeder,008716
T351,LRT Cempaka ↺ Taman Bukit Permai,lrt_feeder,008716
T580,LRT Awan Besar ↺ TPM via LRT Bukit Jalil,lrt_feeder,008716
T581,LRT Alam Sutera ↺ PPR Pinggiran Bukit Jalil,lrt_feeder,008716
T600,LRT IOI Puchong ↺ Taman Wawasan,lrt_feeder,008716
T601,Puchong Utama ↺ Puchong Prima,lrt_feeder,008716
T603,LRT Puchong Prima ↺ Taman Mas Sepang,lrt_feeder,008716
T604,LRT Perindustrian Puchong ↺ Taman Kinrara,lrt_feeder,008716
T605,LRT Bandar Puteri ↺ Bandar Puteri,lrt_feeder,008716
T640,LRT Taman Jaya ↺ Taman Sri Sentosa,lrt_feeder,008716
T776,LRT USJ 7 ↺ Subang Mewah,lrt_feeder,008716
T780,LRT Kelana Jaya ↺ Taman Mayang,lrt_feeder,008716
T781,LRT Kelana Jaya ↺ Kelana Centre Point,lrt_feeder,008716
T782,LRT Lembah Subang ↺ Ara Damansara,lrt_feeder,008716
T787,LRT Asia Jaya ↺ Seksyen 14 & 18,lrt_feeder,008716
T788,LRT Universiti ↺ Mid Valley,lrt_feeder,008716
T789,LRT Universiti ↺ Universiti Malaya via Pantai Hillpark,lrt_feeder,008716
T790,LRT Paramount ↺ Mid Valley,lrt_feeder,008716
T791,LRT Kerinchi ↺ Pantai Hill Park,lrt_feeder,008716
T850,LRT Bangsar ↺ MRT Semantan,lrt_feeder,008716
HLB1,MRT Semantan ↺ Hong Leong Bank Pusat Bandar Damansara,mall_shuttle,21618C
PAVILION BUKIT JALIL (PAVBJ),LRT Awan Besar ↺ Pavilion Bukit Jalil,mall_shuttle,006CFF
PBD1,MRT Semantan ↺ Damanlela Open CarPark,mall_shuttle,21618C
KLG2A,SJKC Kong Hoe �� Taman Sri Pekan,mbdk,
KLG2B,,mbdk,
KLG3A,Taman Sri Andalas �� Bandar Klang,mbdk,
KLG3B,Bandar Putera �� Bandar Klang via Jalan Raja Niong,mbdk,
KLG3C,Bandar Putera �� Bandar Klang via Jalan Kebun,mbdk,
PJ01,Terminal Taman Medan ↺ LRT Taman Jaya,mbpj,008716
PJ02,LRT Taman Jaya ↺ PPUM via SS2 PJ,mbpj,008716
PJ03,LRT Taman Bahagia ↺ SS6 Kelana Park View,mbpj,008716
PJ04,LRT Taman Bahagia ↺ Kg Tunku via SS3,mbpj,008716
PJ05,Bandar Utama ↺ LRT Taman Bahagia,mbpj,008716
PJ06,Bandar Utama ↺ Damansara Damai,mbpj,008716
SA01,Stesen KTM Seksyen 19 ↺ Seksyen 7,mbsa,008716
SA02,Hentian Bandar Seksyen 14 ↺ Stesen KTM Batu 3,mbsa,008716
SA05,Stesen Bas Seksyen 13 ↺ SJKC Subang via Bukit Jelutong,mbsa,008716
SA07,Stesen KTM Batu 3 ↺ Seksyen 20 via HICOM,mbsa,008716
SA08,LRT Alam Megah ↺ Kota Kemuning,mbsa,008716
SU13A,Setia City ↺ Komuniti U13,mbsa,008716
SJ01,BRT USJ 7 ↺ LRT Subang Jaya,mbsj,008716
SJ02,LRT Pusat Bandar Puchong ↺ LRT SS18,mbsj,008716
SJ03,SMK Bandar Puchong Jaya ↺ LRT Kinrara BK5,mbsj,008716
SJ04,KTM Serdang ↺ Hospital Serdang,mbsj,008716
SJ05,Putra Permai ↺ Taman Serdang Jaya,mbsj,008716
MPS4,Wangsa Permai ↺ Bandar Baru Selayang,merdeka_shuttle,008716
MS01,MRT Putrajaya Sentral ↺ Dataran Putrajaya,merdeka_shuttle,21618C
MS02,MRT Putrajaya Sentral ↺ Kompleks Nasyrul Quran,merdeka_shuttle,21618C
MS03,MRT Putrajaya Sentral ↺ Marina Putrajaya,merdeka_shuttle,21618C
AJ01,Ukay Perdana ↺ Taman Melawati via Sg. Sering,mpaj,008716
AJ03,LRT Cempaka ↺ Bukit Teratai,mpaj,008716
AJ04,Pandan Perdana ↺ Hospital Ampang,mpaj,008716
AJ2A,Sri Nilam ↺ Taman Cahaya,mpaj,008716
AJ2B,Sri Nilam ↺ AEON Big Ampang,mpaj,008716
KJ01,Hentian Kajang ↺ Bandar Kajang via Seksyen 7 Bangi,mpkj,008716
KJ02,Stesen KTM Bangi ↺ Bandar Bukit Mahkota,mpkj,008716
KJ03,MRT Bandar Tun Hussein Onn ↺ Taman Tun Perak,mpkj,008716
KJ04,Hentian Kajang ↺ Bandar Baru Bangi,mpkj,008716
BTG1,"Hentian Banting ↺ Mitsui Outlet , KLIA 2",mpkl,008716
BTG2,Hentian Banting ↺ Bandar Baru Banting,mpkl,008716
MPS1,Selayang Mutiara ↺ LRT Gombak,mps,008716
MPS2A,Lotus Rawang ↺ Rawang Perdana,mps,008716
MPS3,Batu Arang ↺ MRT Sungai Buloh,mps,008716
T100,MRT Sungai Buloh ↺ Masjid Hospital Sungai Buloh,mrt_feeder,
T101,MRT Sungai Buloh ↺ Bukit Rahman Putra,mrt_feeder,
T102,MRT Sungai Buloh ↺ Aman Putri,mrt_feeder,
T103,MRT Damansara Damai ↺ Sutera Damansara,mrt_feeder,
T104,MRT Kampung Selamat ↺ Kampung Baru Sg Buloh,mrt_feeder,
T105,MRT Sungai Buloh ↺ Taman Impian Indah,mrt_feeder,
T106,MRT Sri Damansara Barat ↺ Bandar Sri Damansara,mrt_feeder,
T107,MRT Sri Damansara Sentral ↺ Taman Wangsa Permai,mrt_feeder,
T108,MRT Sri Damansara Sentral ↺ Bandar Menjalara,mrt_feeder,
T109,MRT Sri Damansara Sentral ↺ Desa Parkcity,mrt_feeder,
T110,MRT Sri Damansara Timur ↺ Tmn Desa Jaya/Desa Aman Puri,mrt_feeder,
T111,MRT Sri Damansara Timur ↺ Taman Ehsan/Kepong Ulu,mrt_feeder,
T112,MRT Metro Prima ↺ Taman Kepong,mrt_feeder,
T113,MRT Metro Prima ↺ Kepong Entrepreneurs Park,mrt_feeder,
T114,MRT Metro Prima ↺ Bandar Baru Selayang,mrt_feeder,
T115,MRT Kepong Baru ↺ Taman Sri Sinar,mrt_feeder,
T117,MRT Jinjang ↺ Taman Sri Segambut,mrt_feeder,
T118,MRT Sri Delima ↺ Taman Kok Doh,mrt_feeder,
T119,MRT Kentonmen ↺ Perindustrian Taman Segambut,mrt_feeder,
T121,MRT Sri Delima ↺ Taman Wahyu,mrt_feeder,
T152,MRT Metro Prima ↺ Pusat Bandar Selayang,mrt_feeder,
T154,MRT Sungai Buloh ↺ Kuang,mrt_feeder,
T155,Pinewood Court ↺ MRT Sungai Buloh,mrt_feeder,
T180,MRT Sentul Barat ↺ Bandar Baru Sentul/Taman Dato Senu,mrt_feeder,
T305,MRT Taman Midah Pintu B ↺ Sri Nilam,mrt_feeder,
T352,MRT Cochrane ↺ Taman Shamelin,mrt_feeder,
T400,MRT Cochrane ↺ Bandar Tun Razak,mrt_feeder,
T401,MRT Cochrane ↺ Bandar Sri Permaisuri,mrt_feeder,
T402,MRT Taman Midah Pintu A ↺ LRT Salak Selatan,mrt_feeder,
T407,MRT Tun Razak Exchange ↺ Taman Maluri / Desa Pandan,mrt_feeder,
T408,MRT Taman Mutiara ↺ Taman Segar Perdana,mrt_feeder,
T409,MRT Taman Mutiara ↺ Taman Supreme / Ketumbar Hill,mrt_feeder,
T410,MRT Taman Connaught ↺ Bandar Tasik Selatan,mrt_feeder,
T411,MRT Taman Connaught ↺ Taman Cheras Awana,mrt_feeder,
T412,MRT Taman Connaught ↺ Alam Damai,mrt_feeder,
T413,MRT Taman Suntex ↺ Taman Kemacahaya,mrt_feeder,
T414,MRT Sri Raya ↺ Taman Tun Perak / Taman Megah,mrt_feeder,
T415,MRT Bandar Tun Hussein Onn Pintu B ↺ Mahkota Cheras,mrt_feeder,
T416,MRT Batu Sebelas Cheras ↺ Taman Cheras Jaya,mrt_feeder,
T417,MRT Batu 11 Cheras ↺ Taman Karunmas,mrt_feeder,
T418,MRT Chan Sow Lin ↺ Kenanga Mall,mrt_feeder,
T419,MRT Chan Sow Lin ↺ Razak Mansion,mrt_feeder,
T451,MRT Stadium Kajang Pintu A ↺ UKM Bangi,mrt_feeder,
T453,MRT Bukit Dukung ↺ Bandar Sg. Long,mrt_feeder,
T454,MRT Bukit Dukung ↺ Kg. Sg. Sekamat,mrt_feeder,
T455,MRT Bukit Dukung ↺ Taman Sutera Cheras,mrt_feeder,
T456,MRT Sungai Jernih Pintu B ↺ Saujana Impian,mrt_feeder,
T457,MRT Stadium Kajang Pintu A ↺ Prima Saujana,mrt_feeder,
T458,MRT Stadium Kajang Pintu A ↺ Taman Indah,mrt_feeder,
T459,MRT Stadium Kajang ↺ Taman Jasmin,mrt_feeder,
T460,MRT Stadium Kajang ↺ Bandar Teknologi,mrt_feeder,
T461,MRT Kajang Pintu A ↺ Taman Kajang Utama,mrt_feeder,
T462,MRT Kajang Pintu A ↺ Seksyen 8 Bangi,mrt_feeder,
T463,MRT Kajang Pintu A ↺ Bangi Seksyen 4,mrt_feeder,
T464,MRT Stadium Kajang ↺ Teras Jernang,mrt_feeder,
T465,MRT Stadium Kajang ↺ Jade Hills,mrt_feeder,
T504,MRT Cyberjaya Utara ↺ Cyber 11,mrt_feeder,
T505,MRT Cyberjaya Utara ↺ Taman Pinggiran Cyber,mrt_feeder,
T506,MRT Cyberjaya City Centre ↺ Cyber 10,mrt_feeder,
T507,MRT Cyberjaya City Centre ↺ Cyberjaya Transport Terminal,mrt_feeder,
T508,MRT Putrajaya Sentral ↺ Presint 10,mrt_feeder,
T509,MRT Putrajaya Sentral ↺ Presint 16/Alamanda,mrt_feeder,
T510,MRT Putrajaya Sentral ↺ Ayer 8,mrt_feeder,
T511,MRT Putrajaya Sentral ↺ Presint 4,mrt_feeder,
T512,MRT Putrajaya Sentral ↺ Presint 11,mrt_feeder,
T542,MRT Taman Equine ↺ Taman Pinggiran Putra,mrt_feeder,
